K1 Pt                          K2 Pt                           Phi Pt                         Delta Pt
3.2273207266e-02               8.6103377677e-02               1.1426559099e-01               4.1109939507e-03
1.9169743554e-01               7.1541305812e-02               1.7170930583e-01               9.1529435522e-02
1.3437069014e-01               1.2135536782e-01               1.7475772539e-02               2.3825028542e-01
2.7013072006e-01               5.2946055831e-01               7.8397657284e-01               1.5614705530e-02
3.2896850393e-01               1.4813383364e-01               4.5084368788e-01               2.6258649695e-02
2.7712666852e-01               1.9525441651e-01               4.6465961060e-01               7.7214744300e-03
6.4022276482e-02               8.6602588729e-02               3.7870199694e-02               1.1275466552e-01
1.6011800098e-01               2.5095222751e-01               3.6409556087e-01               4.6974667619e-02
1.3421511634e-01               1.1830528131e-01               1.2159344365e-01               1.3092695399e-01
2.1099450823e-02               4.3176976692e-02               3.4135673385e-02               3.0140754129e-02
7.2090931031e-01               5.7422494139e-01               1.2725869657e+00               2.2547286021e-02
7.1247169319e-02               1.3640524448e-01               1.4748043648e-01               6.0171977320e-02
3.8479983564e-01               4.0271327806e-01               7.5229458896e-01               3.5218524743e-02
8.6167017453e-01               6.8322328922e-01               1.5279606425e+00               1.6932821237e-02
1.3167402184e-01               2.9446667102e-01               4.1111711915e-01               1.5023573703e-02
9.2057633359e-02               9.1087299334e-02               7.8710245900e-03               1.7527390810e-01
5.0462689251e-01               3.8911295667e-01               8.6069186914e-01               3.3047980040e-02
4.0878932403e-01               4.9860425046e-01               8.7911920539e-01               2.8274369100e-02
1.7267512322e-01               2.9792806412e-01               4.5942780358e-01               1.1175383753e-02
6.8915575271e-01               7.2152109160e-01               1.3938200214e+00               1.6856822872e-02
1.3400702523e-01               1.2654818982e-01               4.3855406286e-02               2.1669980876e-01
4.8632826793e-02               2.7842320425e-02               3.4997962568e-02               4.1477184650e-02
2.2610401821e-01               4.4827388825e-01               6.5027639944e-01               2.4101507026e-02
3.0043664180e-01               2.7309269926e-01               5.6178540656e-01               1.1743934499e-02
1.4512067164e-01               2.2253883074e-01               3.6341929987e-01               4.2402025065e-03
1.0645568340e-01               1.4280891756e-01               4.2604213143e-02               2.0666038781e-01
1.8781906648e-01               2.1603286098e-01               3.2183098331e-01               8.2020944148e-02
2.1737607795e-01               2.9160881220e-01               5.0372120302e-01               5.2636871268e-03
2.4466652908e-01               9.5437867880e-02               3.2920764877e-01               1.0896748189e-02
6.4059720369e-01               7.5399913597e-01               1.3724869955e+00               2.2109344167e-02
3.7745000681e-01               3.0106948077e-01               6.3241134032e-01               4.6108147258e-02
6.7282188026e-01               4.7804919148e-01               1.1353662879e+00               1.5504783864e-02
3.0231111417e-01               1.8087368425e-01               4.6788640526e-01               1.5298393162e-02
2.0396141935e-01               1.4001112754e-01               2.8171039389e-01               6.2262153001e-02
1.6937741690e-01               2.4858785523e-01               3.4993506839e-01               6.8030203729e-02
5.8762874125e-01               7.3600794818e-01               1.3072263442e+00               1.6410345254e-02
6.4654734152e-02               2.8868334166e-01               3.2418326755e-01               2.9154808256e-02
4.5330225912e-01               4.1449111060e-01               8.3459519213e-01               3.3198177592e-02
2.6112826280e-01               4.6431958805e-01               7.1616639574e-01               9.2814551107e-03
2.8678485676e-01               2.0795245909e-01               4.6400095220e-01               3.0736363656e-02
4.0017379269e-01               6.2200379234e-01               1.0058612711e+00               1.6316313909e-02
1.7821631649e-01               7.8010108625e-02               1.0028708351e-01               1.5593934160e-01
2.2711709121e-02               7.0800054352e-03               2.8114056193e-02               1.6776583629e-03
1.1215445742e-01               3.0008095461e-02               1.3492105940e-01               7.2414934864e-03
3.6966240014e-01               2.2453077259e-01               5.5056045859e-01               4.3632714144e-02
1.7045261042e-01               1.2352531480e-01               2.8541512931e-01               8.5627959167e-03
3.1388972658e-01               6.0683577778e-01               9.1017400465e-01               1.0551499705e-02
6.9941157132e-02               2.7390360996e-01               3.3456517306e-01               9.2795940346e-03
2.9173033662e-01               3.2410647003e-01               5.9909529369e-01               1.6741512960e-02
2.5856135191e-01               4.9087204587e-01               7.3070270010e-01               1.8730697677e-02
1.2618163459e-01               5.0558882620e-02               1.4579345545e-01               3.0947061758e-02
6.1424607432e-01               4.9490118927e-01               1.0895801407e+00               1.9567122854e-02
8.1602998474e-02               2.6703633118e-01               2.9372093822e-01               5.4918391430e-02
2.1990334355e-01               1.8989617409e-01               3.2291815498e-01               8.6881362659e-02
3.6964297435e-01               3.2498363067e-01               6.8180760838e-01               1.2818996630e-02
8.7281135917e-01               7.1424517806e-01               1.5710985808e+00               1.5957956390e-02
9.0044277991e-01               7.6643404966e-01               1.6490109135e+00               1.7865916071e-02
4.8784939148e-01               5.9988067040e-01               1.0721130213e+00               1.5617040542e-02
3.3310677764e-02               2.0940490999e-01               1.9018380484e-01               5.2531782917e-02
1.1704170928e-01               1.9150558429e-01               2.4616395148e-01               6.2383342095e-02
1.4024474591e-01               2.6688349804e-01               4.0164250281e-01               5.4857411426e-03
2.9947474637e-01               1.5955735615e-01               4.0097800788e-01               5.8054094639e-02
1.4335062491e-01               3.1490115504e-01               4.4819972439e-01               1.0052055560e-02
3.5673305954e-01               1.8425441940e-01               4.9971902299e-01               4.1268455953e-02
2.7205471520e-01               5.1395080050e-02               3.1751240617e-01               5.9373890712e-03
2.7070642760e-01               1.6250543203e-01               3.6428774378e-01               6.8924115852e-02
1.3343098532e-01               2.3804748997e-02               1.4455487945e-01               1.2680854868e-02
3.7186498566e-02               6.2760880015e-02               2.5708153755e-02               7.4239224827e-02
5.3149513736e-01               2.5424697989e-01               7.7703022412e-01               8.7118931254e-03
3.0239512123e-01               2.8339132836e-01               5.4369554951e-01               4.2090900077e-02
2.5866109062e-01               3.1420469410e-01               5.4609560270e-01               2.6770182011e-02
6.2217258535e-01               3.6153729596e-01               9.6795764465e-01               1.5752236661e-02
4.0976897778e-01               4.8274215590e-01               8.6931095231e-01               2.3200181369e-02
3.1529456704e-01               2.6360801117e-01               5.7105676032e-01               7.8458178928e-03
3.2706666641e-01               2.1557424274e-01               5.3003715224e-01               1.2603756914e-02
4.0002875744e-01               2.4015442956e-01               6.1346029010e-01               2.6722896896e-02
8.1158357775e-01               8.6999677123e-01               1.6644510757e+00               1.7129273239e-02
2.5820535601e-01               1.4027145043e-01               3.3958390036e-01               5.8892906084e-02
8.2901155216e-01               6.7415451068e-01               1.4846933253e+00               1.8472737567e-02
3.8970664865e-02               3.6790958245e-02               7.4323552979e-02               1.4380701322e-03
2.2443999851e-01               1.3785787794e-01               2.7281248166e-01               8.9485394786e-02
3.0061208435e-01               4.4782308647e-01               7.3229346285e-01               1.6141707969e-02
4.3119651616e-01               2.6613094934e-01               6.9026356454e-01               7.0639009636e-03
6.4027215603e-01               7.3030612321e-01               1.3526280363e+00               1.7950242930e-02
1.2902220498e-01               9.9996052438e-02               1.1343203879e-01               1.1558621863e-01
6.7204861498e-02               1.3116793799e-01               6.3978802349e-02               1.3439399714e-01
2.6979373563e-01               1.5290658936e-01               3.6598022844e-01               5.6720096541e-02
1.9396177314e-01               1.5412994831e-01               3.2999290331e-01               1.8098818139e-02
1.5862938206e-01               2.9619617102e-01               4.4691045608e-01               7.9150969914e-03
1.2500104013e-01               1.3224730155e-01               6.7782857684e-02               1.8946548399e-01
5.5256211394e-02               1.4801303614e-01               1.7546343201e-01               2.7805815526e-02
7.9824782770e-01               7.1685314857e-01               1.4989156021e+00               1.6185374167e-02
2.3294630525e-01               2.0987285651e-01               4.0435780749e-01               3.8461354262e-02
1.5609584747e-01               1.6819815914e-01               2.1528881664e-01               1.0900518997e-01
1.7938407164e-01               4.4677518515e-01               6.1451204768e-01               1.1647209107e-02
1.4063336866e-01               1.0886890368e-01               1.3725658293e-01               1.1224568941e-01
4.1026979425e-01               5.9544340339e-01               9.8143902853e-01               2.4274169104e-02
8.5292870819e-01               6.6911671926e-01               1.5043606263e+00               1.7684801147e-02
1.3864671934e-01               7.7190641090e-02               9.4169635170e-02               1.2166772526e-01
5.9326030954e-02               1.2336944584e-01               1.1789269744e-01               6.4802779357e-02
4.0313947222e-01               2.3455586882e-01               6.1164567222e-01               2.6049668826e-02
3.4388872235e-01               3.0692117162e-01               6.0306441786e-01               4.7745476115e-02
2.0769866758e-01               4.8600973330e-01               6.8398223689e-01               9.7261639962e-03
2.1623070242e-01               2.2299755429e-01               4.2455889832e-01               1.4669358391e-02
1.7785890997e-01               2.9287742050e-01               4.6171125540e-01               9.0250750612e-03
3.6944237784e-01               4.5597041124e-01               7.9454131041e-01               3.0871478671e-02
9.8984504656e-02               1.7838557441e-01               2.1953907755e-01               5.7831001521e-02
1.2474695250e-01               6.8714110772e-02               1.0287042734e-01               9.0590635940e-02
1.2327681560e-01               6.5097432132e-02               1.8458216553e-01               3.7920822025e-03
4.9418445639e-01               7.0679517584e-01               1.1809349449e+00               2.0044687358e-02
9.6971387773e-02               1.5758491208e-01               1.9341742910e-01               6.1138870749e-02
1.7594285174e-01               2.5575439893e-01               4.2700171370e-01               4.6955369659e-03
1.5045991280e-01               1.0138438524e-01               7.6666589044e-02               1.7517770900e-01
3.1531027820e-01               1.3429906779e-01               4.0452457611e-01               4.5084769881e-02
2.1737674554e-01               3.4650637215e-01               5.1434539815e-01               4.9537719536e-02
4.2796979811e-01               4.9861860356e-01               9.1615816251e-01               1.0430239165e-02
4.9367480665e-01               5.8974344263e-01               1.0595333732e+00               2.3884876127e-02
7.7374818159e-02               2.9032825489e-01               3.3132356413e-01               3.6379508922e-02
3.7672206503e-01               1.2626805157e-01               4.8696008866e-01               1.6030027941e-02
3.9547627180e-01               5.3120054772e-01               9.0042360540e-01               2.6253214121e-02
2.6074248229e-01               1.1290569997e-01               3.5808832332e-01               1.5559858941e-02
4.6796746231e-01               2.6863306773e-01               7.1161140120e-01               2.4989128839e-02
2.6892116006e-01               2.2711665279e-01               4.4434541245e-01               5.1692400400e-02
2.6838155137e-01               2.8134915399e-01               4.8640158421e-01               6.3329121156e-02
4.9255648273e-01               5.8336774475e-01               1.0597405746e+00               1.6183652834e-02
3.6059522689e-01               4.6534887347e-01               8.1371951011e-01               1.2224590255e-02
2.0364340919e-01               2.9041188308e-01               4.2939738490e-01               6.4657907373e-02
3.0014435163e-01               4.8593979926e-01               7.5878596957e-01               2.7298181318e-02
3.2707492177e-02               3.7411165695e-03               2.9470713682e-02               6.9778950649e-03
1.0099886058e-01               2.8446036558e-01               3.7490187691e-01               1.0557349248e-02
7.2675118887e-02               1.6482845603e-01               1.1567144926e-01               1.2183212565e-01
6.2071066590e-01               4.5962806781e-01               1.0562422595e+00               2.4096474246e-02
2.9250725114e-01               5.4282824933e-01               8.1974755782e-01               1.5587942648e-02
2.9120034314e-01               2.8272190024e-01               5.3060759339e-01               4.3314649989e-02
9.1498343600e-02               3.4400639913e-02               9.4455910953e-02               3.1443072560e-02
2.7523633638e-01               2.2969583918e-01               4.6202942369e-01               4.2902751874e-02
1.2095678414e-01               2.0894544363e-01               2.2279599233e-01               1.0710623543e-01
2.3932021194e-01               2.2936638941e-01               4.5729702340e-01               1.1389577950e-02
6.0544700092e-02               1.6894262980e-01               1.5530484924e-01               7.4182480654e-02
6.0516418281e-01               6.9740119337e-01               1.2786016191e+00               2.3963757127e-02
5.7920710628e-01               7.0250452734e-01               1.2584628717e+00               2.3248761907e-02
7.6510737676e-01               7.8835696343e-01               1.5325589331e+00               2.0905407091e-02
3.7908796980e-01               3.8698300969e-01               7.5397724049e-01               1.2093738989e-02
5.4096391692e-01               5.3545451448e-01               1.0453402857e+00               3.1078145748e-02
8.4357180244e-01               7.2969711179e-01               1.5532843199e+00               1.9984594341e-02
9.4228667476e-02               2.2680700583e-01               2.9139950264e-01               2.9636170659e-02
5.2095628460e-01               6.5735410715e-01               1.1536036300e+00               2.4706761724e-02
9.3950825582e-02               2.3419542019e-01               2.5127552732e-01               7.6870718453e-02
3.7659492864e-02               1.6698077877e-02               4.3126442215e-02               1.1231128527e-02
1.9853717818e-01               8.4839291573e-03               2.0050036675e-01               6.5207405932e-03
1.5497893930e-01               1.5299246584e-01               2.2881049903e-01               7.9160906106e-02
2.7325646520e-01               2.8148881080e-01               5.4678614161e-01               7.9591343948e-03
3.1779557642e-01               8.6624440425e-02               3.9423090656e-01               1.0189110291e-02
1.8212688974e-01               3.8797103177e-01               5.5097710603e-01               1.9120815486e-02
6.3460446326e-01               4.2121251422e-01               1.0347178550e+00               2.1099122459e-02
1.0525781310e-01               1.2674667096e-01               2.3557627157e-02               2.0844685691e-01
1.4434244564e-01               2.7835364797e-01               3.9732459317e-01               2.5371500441e-02
1.1497802895e-01               9.1447348630e-02               3.2141086591e-02               1.7428429099e-01
8.1594397661e-01               6.4208271721e-01               1.4402618310e+00               1.7764862795e-02
3.7199428464e-01               2.8360111213e-01               6.3130174712e-01               2.4293649647e-02
2.0145823432e-01               1.6797678329e-01               2.8929189745e-01               8.0143120155e-02
2.5786724025e-01               2.2406485708e-01               4.6020701563e-01               2.1725081699e-02
3.4612794555e-01               2.4031390108e-01               5.6474124817e-01               2.1700598454e-02
1.3959851019e-01               5.9094008269e-02               8.4083115446e-02               1.1460940301e-01
2.0050834787e-01               5.3960548822e-02               2.3046753190e-01               2.4001364785e-02
3.6127291555e-01               4.3389012721e-01               7.6311142147e-01               3.2051621287e-02
2.4239764384e-01               9.9652780427e-02               3.0812012774e-01               3.3930296529e-02
4.5308293670e-01               3.1213311771e-01               7.3159511257e-01               3.3620941836e-02
2.5664077839e-01               8.3634904865e-02               2.8761768186e-01               5.2658001393e-02
4.2242599315e-01               2.6118444637e-01               6.6629561226e-01               1.7314827255e-02
7.1923203537e-01               8.0736064690e-01               1.5061155735e+00               2.0477108800e-02
5.9812460744e-02               6.6704262478e-02               1.0614917709e-01               2.0367546134e-02
2.7178824651e-01               1.1015297062e-01               3.2309485697e-01               5.8846360162e-02
4.2201956055e-02               1.6116493608e-01               1.5505460567e-01               4.8312286467e-02
4.6296051028e-02               2.3039646210e-01               2.6934164067e-01               7.3508724521e-03
1.2960674814e-01               1.3996484630e-01               1.0267842299e-01               1.6689317146e-01
4.5286106141e-01               4.6273942024e-01               9.0266106927e-01               1.2939412379e-02
6.1242943538e-02               2.2762505713e-01               2.1924606615e-01               6.9621934519e-02
4.9568154108e-01               5.4619188134e-01               1.0119382752e+00               2.9935147199e-02
6.1693155490e-02               2.1639942451e-01               2.1187285927e-01               6.6219720722e-02
6.4468768706e-01               5.9309890369e-01               1.2244155634e+00               1.3371027331e-02
5.7645330389e-01               6.1865430013e-01               1.1693813903e+00               2.5726213754e-02
3.5451778191e-01               2.8895482466e-01               6.1837429841e-01               2.5098308166e-02
5.4668761827e-01               6.8665467358e-01               1.2134578418e+00               1.9884450073e-02
1.9686273008e-01               7.6979542842e-02               1.5020466709e-01               1.2363760583e-01
