Count     Luminosity(mb-1)    bin Width           Pid Eff             iTPC cutoff Eff     UPC fraction        DCA                 Track Reco          Differential Cross Section (mb)
1580                13267               0.02                0.899708  0.97293             0.3                 0.9                 0.95                26.5206             
1605                13267               0.02                0.899708  0.970685            0.3                 0.9                 0.95                27.0026             
1646                13267               0.02                0.896751  0.971218            0.3                 0.9                 0.95                27.7684             
1625                13267               0.02                0.896751  0.971372            0.3                 0.9                 0.95                27.4098             
1589                13267               0.02                0.910931  0.97478             0.3                 0.9                 0.95                26.2931             
1522                13267               0.02                0.910931  0.971646            0.3                 0.9                 0.95                25.2657             
1444                13267               0.02                0.904828  0.97214             0.3                 0.9                 0.95                24.1203             
1436                13267               0.02                0.904828  0.973356            0.3                 0.9                 0.95                23.9567             
1418                13267               0.02                0.905075  0.97316             0.3                 0.9                 0.95                23.6547             
1363                13267               0.02                0.905075  0.973263            0.3                 0.9                 0.95                22.7348             
1309                13267               0.02                0.908155  0.972916            0.3                 0.9                 0.95                21.7678             
1279                13267               0.02                0.908155  0.971981            0.3                 0.9                 0.95                21.2893             
1220                13267               0.02                0.925971  0.970116            0.3                 0.9                 0.95                19.9548             
1183                13267               0.02                0.925971  0.970794            0.3                 0.9                 0.95                19.3361             
1132                13267               0.02                0.939354  0.972229            0.3                 0.9                 0.95                18.212              
1064                13267               0.02                0.939354  0.971401            0.3                 0.9                 0.95                17.1326             
930                 13267               0.02                0.934656  0.971151            0.3                 0.9                 0.95                15.0541             
957                 13267               0.02                0.934656  0.972101            0.3                 0.9                 0.95                15.476              
779                 13267               0.02                0.953678  0.970105            0.3                 0.9                 0.95                12.3716             
777                 13267               0.02                0.953678  0.968287            0.3                 0.9                 0.95                12.363              
704                 13267               0.02                0.949942  0.972528            0.3                 0.9                 0.95                11.1965             
614                 13267               0.02                0.949942  0.972417            0.3                 0.9                 0.95                9.76627             
